epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,100.126,0.28776,2.61289,0.00612,0.00333,1,0.995,0.945,0.37944,6.68823,0.01754,0.000496698,0.000496698,0.000496698
59,100.94,0.6424,3.14464,0.01841,0.00333,1,0.995,0.945,0.37944,6.68823,0.01754,0.000493928,0.000493928,0.000493928
60,101.876,0.32541,3.58008,0.00989,0.00333,1,0.995,0.8955,0.47212,6.56995,0.02133,0.000490762,0.000490762,0.000490762
61,102.695,0.42383,3.3329,0.01351,0.00333,1,0.995,0.8955,0.47212,6.56995,0.02133,0.0004872,0.0004872,0.0004872
62,103.526,0.49566,3.4681,0.01512,0.00333,1,0.995,0.8955,0.47212,6.56995,0.02133,0.000483242,0.000483242,0.000483242
63,104.472,0.84736,4.72568,0.02729,0.13595,1,0.995,0.995,0.35751,6.35953,0.0166,0.000478888,0.000478888,0.000478888
64,105.306,0.62104,3.70946,0.02385,0.13595,1,0.995,0.995,0.35751,6.35953,0.0166,0.000474138,0.000474138,0.000474138
65,106.146,0.86295,3.97903,0.01577,0.13595,1,0.995,0.995,0.35751,6.35953,0.0166,0.000468992,0.000468992,0.000468992
66,107.083,0.62483,3.41022,0.02099,0.33152,1,0.995,0.995,0.30374,6.23695,0.01426,0.00046345,0.00046345,0.00046345
67,107.926,0.42342,2.72414,0.0105,0.33152,1,0.995,0.995,0.30374,6.23695,0.01426,0.000457512,0.000457512,0.000457512
68,108.765,0.4606,2.66244,0.0143,0.33152,1,0.995,0.995,0.30374,6.23695,0.01426,0.000451178,0.000451178,0.000451178
69,109.693,0.41443,2.57752,0.0103,0.69221,1,0.995,0.90103,0.47598,6.1234,0.0228,0.000444448,0.000444448,0.000444448
70,110.487,0.79329,3.97929,0.02836,0.69221,1,0.995,0.90103,0.47598,6.1234,0.0228,0.000437322,0.000437322,0.000437322
71,111.291,0.44728,2.29466,0.01281,0.69221,1,0.995,0.90103,0.47598,6.1234,0.0228,0.0004298,0.0004298,0.0004298
72,112.193,0.48329,2.47073,0.01396,0.86238,1,0.995,0.89919,0.5139,5.97311,0.02447,0.000421882,0.000421882,0.000421882
73,113.007,0.49789,2.56512,0.01241,0.86238,1,0.995,0.89919,0.5139,5.97311,0.02447,0.000413568,0.000413568,0.000413568
74,113.874,0.3456,2.38427,0.00784,0.86238,1,0.995,0.89919,0.5139,5.97311,0.02447,0.000404858,0.000404858,0.000404858
75,114.862,0.57901,3.2823,0.01868,0.90369,1,0.995,0.89871,0.48808,5.83872,0.02335,0.000395752,0.000395752,0.000395752
76,115.663,0.66446,3.0583,0.0157,0.90369,1,0.995,0.89871,0.48808,5.83872,0.02335,0.00038625,0.00038625,0.00038625
77,116.507,0.346,2.15654,0.00817,0.90369,1,0.995,0.89871,0.48808,5.83872,0.02335,0.000376352,0.000376352,0.000376352
78,117.456,0.44417,2.38724,0.00799,0.93251,1,0.995,0.90027,0.62108,5.82207,0.02923,0.000366058,0.000366058,0.000366058
79,118.262,0.78008,4.40589,0.0296,0.93251,1,0.995,0.90027,0.62108,5.82207,0.02923,0.000355368,0.000355368,0.000355368
80,119.073,0.49451,3.22559,0.01541,0.93251,1,0.995,0.90027,0.62108,5.82207,0.02923,0.000344282,0.000344282,0.000344282
81,120.01,0.35161,2.3462,0.00998,0.94269,1,0.995,0.8955,0.6596,5.75424,0.03033,0.0003328,0.0003328,0.0003328
82,120.83,0.45478,3.08703,0.01468,0.94269,1,0.995,0.8955,0.6596,5.75424,0.03033,0.000320922,0.000320922,0.000320922
83,121.661,0.42986,3.008,0.01239,0.94269,1,0.995,0.8955,0.6596,5.75424,0.03033,0.000308648,0.000308648,0.000308648
84,122.554,0.69194,3.93937,0.02388,0.95317,1,0.995,0.89904,0.63021,5.65131,0.02898,0.000295978,0.000295978,0.000295978
85,123.352,0.58758,3.00491,0.0188,0.95317,1,0.995,0.89904,0.63021,5.65131,0.02898,0.000282912,0.000282912,0.000282912
86,124.176,0.66391,3.3084,0.01643,0.95317,1,0.995,0.89904,0.63021,5.65131,0.02898,0.00026945,0.00026945,0.00026945
87,124.997,0.6942,3.50582,0.02391,0.95317,1,0.995,0.89904,0.63021,5.65131,0.02898,0.000255592,0.000255592,0.000255592
88,125.893,0.60089,2.76124,0.01638,0.95981,1,0.995,0.90971,0.52705,5.47033,0.0233,0.000241338,0.000241338,0.000241338
89,126.704,0.49916,2.84259,0.01287,0.95981,1,0.995,0.90971,0.52705,5.47033,0.0233,0.000226688,0.000226688,0.000226688
90,127.515,0.75362,3.36074,0.02362,0.95981,1,0.995,0.90971,0.52705,5.47033,0.0233,0.000211642,0.000211642,0.000211642
91,130.994,1.01839,8.14903,0.05193,0.95981,1,0.995,0.90971,0.52705,5.47033,0.0233,0.0001962,0.0001962,0.0001962
92,131.869,0.93737,7.6273,0.04214,0.96351,1,0.995,0.90971,0.43452,5.3413,0.01941,0.000180362,0.000180362,0.000180362
93,132.842,0.82423,7.70625,0.03853,0.96351,1,0.995,0.90971,0.43452,5.3413,0.01941,0.000164128,0.000164128,0.000164128
94,133.769,0.66506,6.75512,0.03164,0.96351,1,0.995,0.90971,0.43452,5.3413,0.01941,0.000147498,0.000147498,0.000147498
95,134.617,0.72106,7.01132,0.03206,0.96351,1,0.995,0.90971,0.43452,5.3413,0.01941,0.000130472,0.000130472,0.000130472
96,135.55,0.60012,6.83228,0.02493,0.9673,1,0.995,0.89859,0.44101,5.28088,0.02051,0.00011305,0.00011305,0.00011305
97,136.426,0.40964,6.43021,0.01407,0.9673,1,0.995,0.89859,0.44101,5.28088,0.02051,9.5232e-05,9.5232e-05,9.5232e-05
98,137.235,0.25956,6.14065,0.00985,0.9673,1,0.995,0.89859,0.44101,5.28088,0.02051,7.7018e-05,7.7018e-05,7.7018e-05
99,138.089,0.57314,6.92879,0.02532,0.9673,1,0.995,0.89859,0.44101,5.28088,0.02051,5.8408e-05,5.8408e-05,5.8408e-05
100,138.962,0.40678,7.12598,0.01762,0.96892,1,0.995,0.92867,0.42049,5.1965,0.01951,3.9402e-05,3.9402e-05,3.9402e-05
